T3 P0 D3.000000 Z+103.000000
T1 P2 D1.000000 Z+101.000000
T2 P3 D2.000000 Z+102.000000
T4 P4 D4.000000 Z+104.000000
T5 P5 D5.000000 X+4711.000000 Z+105.000000
T6 P6 D6.000000 Z+106.000000
T7 P7 D7.000000 Z+107.000000
T8 P8 D8.000000 Z+108.000000
T9 P9 D9.000000 Z+109.000000
T10 P10 D10.000000 Z+110.000000
T11 P11 D11.000000 Z+111.000000
T12 P12 D4.000000 Z+112.000000
T13 P13 D13.000000 Z+113.000000
T14 P14 D10.000000 Z+114.000000
T15 P15 D10.000000 Z+115.000000
T16 P16 D12.500000 Z+116.000000
T17 P17 D6.500000 Z+117.000000
T18 P18 D4.000000 Z+118.000000
T19 P19 D11.000000 Z+119.000000
T20 P20 D50.100000 Z+120.000000
T21 P21 D7.800000 Z+121.000000
T22 P22 D16.150000 Z+122.000000
T23 P23 D3.300000 Z+123.000000
T24 P24 D12.000000 Z+124.000000
