T1 P1 Z0.511 D3 ;3mm end mill
T2 P4 Z0.1 D1.5 ;1.5mm  end mill
T3 P3 Z1.273 D5 ;5mm tap drill
T4 P2 Z10 D16 ;16 mm schaftfräser
T5 P5 Z25 D25 ;25'er fräser
T6 P6 Z6 D6 ;tool 6
T7 P7 Z7 D7 ;7
T8 P8 Z8 D8 ;8
T9 P9 Z9 D9 ;9
T10 P10 Z10 D10 ;10
T11 P11 Z11 D11 ;11
T12 P12 Z12 D12 ;12
T13 P13 Z13 D13 ;13
T14 P14 Z14 D14 ;14
T15 P15 Z15 D15 ;15
T16 P16 Z16 D16 ;16
T17 P17 Z17 D17 ;17
T18 P18 Z18 D18 ;18
T19 P19 Z19 D19 ;19
T20 P20 Z20 D20 ;20
T21 P21 Z21 D21 ;21
T22 P22 Z22 D22 ;22
T23 P23 Z23 D23 ;23
T24 P24 Z24 D24 ;24
