# Autoconverted thermistor table for 3950-100k_marlin.txt
# Temp	Resistance	aplha
-27.0	1599566.67	0.0
9.0	204552.17	0.0
17.0	141142.42	0.0
23.0	107225.58	0.0
28.0	86107.55	0.0
39.0	53285.54	0.0
45.0	42026.21	0.0
51.0	34428.46	0.0
55.0	28955.94	0.0
57.0	26756.21	0.0
65.0	20236.79	0.0
69.0	17895.31	0.0
72.0	15955.79	0.0
79.0	12929.30	0.0
85.0	10676.36	0.0
90.0	9331.49	0.0
95.0	7866.06	0.0
100.0	6953.27	0.0
105.0	5924.28	0.0
111.0	5062.27	0.0
117.0	4329.64	0.0
123.0	3699.30	0.0
128.0	3281.43	0.0
133.0	2903.16	0.0
139.0	2559.13	0.0
144.0	2244.88	0.0
150.0	1956.71	0.0
155.0	1777.52	0.0
160.0	1607.73	0.0
165.0	1446.62	0.0
170.0	1293.52	0.0
176.0	1147.87	0.0
179.0	1077.67	0.0
183.0	1009.13	0.0
187.0	942.20	0.0
190.0	876.83	0.0
195.0	812.94	0.0
199.0	750.51	0.0
204.0	689.47	0.0
209.0	629.79	0.0
215.0	571.41	0.0
221.0	514.30	0.0
229.0	458.41	0.0
237.0	403.71	0.0
247.0	350.16	0.0
258.0	297.72	0.0
272.0	246.35	0.0
290.0	196.03	0.0
314.0	146.73	0.0
938.0	4.59	0.0
