# Thermistor table for EPCOS B57560G104F
# Temp	Resistance	aplha
-60.0	inf			7.7
-55.0	10723236	7.7
-50.0	7366689		7.4
-45.0	5132757		7.1
-40.0	3624165		6.9
-35.0	2591304		6.6
-30.0	1874913		6.4
-25.0	1371886		6.2
-20.0	1014545		5.9
-15.0	757881		5.8
-10.0	571590		5.6
-5.0	435026		5.4
 0.0	333964		5.2
5.0		258497		5.1
10.0	201659		4.9
15.0	158499		4.8
20.0	125468		4.6
25.0	100000		4.5
30.0	80223		4.4
35.0	64759		4.2
40.0	52589		4.1
45.0	42951		4.0
50.0	35272		3.9
55.0	29119		3.8
60.0	24161		3.7
65.0	20144		3.6
70.0	16874		3.5
75.0	14198		3.4
80.0	11998		3.3
85.0	10181		3.3
90.0	8674		3.2
95.0	7419		3.1
100.0	6369		3.0
105.0	5487		2.9
110.0	4744		2.9
115.0	4115		2.8
120.0	3581		2.8
125.0	3126		2.7
130.0	2737		2.6
135.0	2404		2.6
140.0	2117		2.5
145.0	1869		2.5
150.0	1655		2.4
155.0	1469		2.4
160.0	1307		2.3
165.0	1166		2.3
170.0	1043		2.2
175.0	934.5		2.2
180.0	839.3		2.1
185.0	755.4		2.1
190.0	681.3		2.0
195.0	615.8		2.0
200.0	557.6		2.0
205.0	505.9		1.9
210.0	459.9		1.9
215.0	418.8		1.9
220.0	382.0		1.8
225.0	349.1		1.8
230.0	319.5		1.8
235.0	292.9		1.7
240.0	269.0		1.7
245.0	247.3		1.7
250.0	227.8		1.6
255.0	210.1		1.6
260.0	194.1		1.6
265.0	179.5		1.5
270.0	166.3		1.5
275.0	154.2		1.5
280.0	143.2		1.5
285.0	133.2		1.4
290.0	124.0		1.4
295.0	115.5		1.4
300.0	107.8		1.4
400.0	0.0			1.4
