# Thermistor table for EPCOS B57560G1104
# Temp	Resistance	aplha
-60.0	inf			7.6
-55.0	10011000	7.4
-50.0	6956000		7.2
-45.0	4894500		6.9
-40.0	3485300		6.7
-35.0	2510200		6.5
-30.0	1827500		6.2
-25.0	1344300		6.0
-20.0	998530		5.9
-15.0	748670		5.7
-10.0	566360		5.5
-5.0	432120		5.3
 0.0	332400		5.2
5.0		257690		5.0
10.0	201270		4.9
15.0	158340		4.7
20.0	125420		4.6
25.0	100000		4.5
30.0	80239		4.3
35.0	64776		4.2
40.0	52598		4.1
45.0	42950		4.0
50.0	35262		3.9
55.0	29100		3.8
60.0	24136		3.7
65.0	20114		3.6
70.0	16841		3.5
75.0	14164		3.4
80.0	11963		3.3
85.0	10147		3.3
90.0	8640.7		3.2
95.0	7386.7		3.1
100.0	6338.3		3.0
105.0	5458.4		3.0
110.0	4717		2.9
115.0	4090.1		2.8
120.0	3558.1		2.8
125.0	3105		2.7
130.0	2717.9		2.6
135.0	2386.1		2.6
140.0	2100.8		2.5
145.0	1854.8		2.5
150.0	1641.9		2.4
155.0	1457.3		2.4
160.0	1296.7		2.3
165.0	1156.6		2.3
170.0	1034.1		2.2
175.0	926.64		2.2
180.0	832.24		2.1
185.0	749.07		2.1
190.0	675.64		2.0
195.0	610.64		2.0
200.0	552.99		2.0
205.0	501.75		1.9
210.0	456.11		1.9
215.0	415.37		1.9
220.0	378.95		1.8
225.0	346.31		1.8
230.0	317.01		1.8
235.0	290.67		1.7
240.0	266.93		1.7
245.0	245.51		1.7
250.0	226.15		1.6
255.0	208.62		1.6
260.0	192.73		1.6
265.0	178.29		1.5
270.0	165.16		1.5
275.0	153.19		1.5
280.0	142.28		1.5
285.0	132.31		1.4
290.0	123.19		1.4
295.0	114.83		1.4
300.0	107.16		1.4
400.0	0.0			1.4
