# Thermistor table for EPCOS BC57560G0104F00
# Temp	Resistance	aplha
-40.0	3308555	0.0
-39.0	3097036	0.0
-38.0	2900670	0.0
-37.0	2718264	0.0
-36.0	2548725	0.0
-35.0	2391054	0.0
-34.0	2244336	0.0
-33.0	2107733	0.0
-32.0	1980476	0.0
-31.0	1861861	0.0
-30.0	1751239	0.0
-29.0	1645606	0.0
-28.0	1547131	0.0
-27.0	1455278	0.0
-26.0	1369557	0.0
-25.0	1289517	0.0
-24.0	1214742	0.0
-23.0	1144850	0.0
-22.0	1079489	0.0
-21.0	1018335	0.0
-20.0	961088	0.0
-19.0	907797	0.0
-18.0	857845	0.0
-17.0	810999	0.0
-16.0	767047	0.0
-15.0	725791	0.0
-14.0	687047	0.0
-13.0	650645	0.0
-12.0	616430	0.0
-11.0	584254	0.0
-10.0	553984	0.0
-9.0	524628	0.0
-8.0	497031	0.0
-7.0	471078	0.0
-6.0	446659	0.0
-5.0	423674	0.0
-4.0	402185	0.0
-3.0	381932	0.0
-2.0	362838	0.0
-1.0	344829	0.0
-0.0	327836	0.0
1.0		309022	0.0
2.0		291414	0.0
3.0		274925	0.0
4.0		259479	0.0
5.0		245003	0.0
6.0		234960	0.0
7.0		225396	0.0
8.0		216286	0.0
9.0		207605	0.0
10.0	199329	0.0
11.0	190027	0.0
12.0	181219	0.0
13.0	172877	0.0
14.0	164974	0.0
15.0	157482	0.0
16.0	150312	0.0
17.0	143513	0.0
18.0	137066	0.0
19.0	130950	0.0
20.0	125145	0.0
21.0	119582	0.0
22.0	114302	0.0
23.0	109288	0.0
24.0	104525	0.0
25.0	100000	0.0
26.0	95726	0.0
27.0	91661	0.0
28.0	87795	0.0
29.0	84115	0.0
30.0	80613	0.0
31.0	77213	0.0
32.0	73977	0.0
33.0	70897	0.0
34.0	67964	0.0
35.0	65170	0.0
36.0	62535	0.0
37.0	60022	0.0
38.0	57625	0.0
39.0	55338	0.0
40.0	53156	0.0
41.0	51040	0.0
42.0	49021	0.0
43.0	47095	0.0
44.0	45255	0.0
45.0	43498	0.0
46.0	41797	0.0
47.0	40173	0.0
48.0	38621	0.0
49.0	37138	0.0
50.0	35721	0.0
51.0	34370	0.0
52.0	33077	0.0
53.0	31841	0.0
54.0	30658	0.0
55.0	29526	0.0
56.0	28443	0.0
57.0	27407	0.0
58.0	26414	0.0
59.0	25463	0.0
60.0	24551	0.0
61.0	23666	0.0
62.0	22856	0.0
63.0	22059	0.0
64.0	21295	0.0
65.0	20562	0.0
66.0	19848	0.0
67.0	19163	0.0
68.0	18506	0.0
69.0	17875	0.0
70.0	17269	0.0
71.0	16697	0.0
72.0	16147	0.0
73.0	15619	0.0
74.0	15110	0.0
75.0	14621	0.0
76.0	14126	0.0
77.0	13650	0.0
78.0	13193	0.0
79.0	12753	0.0
80.0	12331	0.0
81.0	11931	0.0
82.0	11545	0.0
83.0	11175	0.0
84.0	10818	0.0
85.0	10474	0.0
86.0	10143	0.0
87.0	9824	0.0
88.0	9516	0.0
89.0	9220	0.0
90.0	8935	0.0
91.0	8656	0.0
92.0	8388	0.0
93.0	8129	0.0
94.0	7879	0.0
95.0	7639	0.0
96.0	7413 	0.0
97.0	7194	0.0
98.0	6983	0.0
99.0	6780	0.0
100.0	6583	0.0
101.0	6387	0.0
102.0	6197	0.0
103.0	6015	0.0
104.0	5838	0.0
105.0	5668	0.0
106.0	5505	0.0
107.0	5347	0.0
108.0	5195	0.0
109.0	5048	0.0
110.0	4905	0.0
111.0	4767	0.0
112.0	4632	0.0
113.0	4503	0.0
114.0	4377	0.0
115.0	4256	0.0
116.0	4139	0.0
117.0	4025	0.0
118.0	3915	0.0
119.0	3809	0.0
120.0	3706	0.0
121.0	3603	0.0
122.0	3504	0.0
123.0	3407	0.0
124.0	3314	0.0
125.0	3224	0.0
126.0	3136	0.0
127.0	3052	0.0
128.0	2970	0.0
129.0	2891	0.0
130.0	2814	0.0
131.0	2744	0.0
132.0	2677	0.0
133.0	2612	0.0
134.0	2548	0.0
135.0	2487	0.0
136.0	2427	0.0
137.0	2369	0.0
138.0	2312	0.0
139.0	2257	0.0
140.0	2204	0.0
141.0	2150	0.0
142.0	2097	0.0
143.0	2045	0.0
144.0	1996	0.0
145.0	1947	0.0
146.0	1900	0.0
147.0	1855	0.0
148.0	1810	0.0
149.0	1767	0.0
150.0	1726	0.0
151.0	1684	0.0
152.0	1644	0.0
153.0	1605	0.0
154.0	1567	0.0
155.0	1530	0.0
156.0	1494	0.0
157.0	1459	0.0
158.0	1426	0.0
159.0	1393	0.0
160.0	1361	0.0
161.0	1329	0.0
162.0	1299	0.0
163.0	1270	0.0
164.0	1241	0.0
165.0	1213	0.0
166.0	1185	0.0
167.0	1158	0.0
168.0	1132	0.0
169.0	1107	0.0
170.0	1082	0.0
171.0	1058	0.0
172.0	1034	0.0
173.0	1011	0.0
174.0	989		0.0
175.0	967		0.0
176.0	946		0.0
177.0	925		0.0
178.0	905		0.0
179.0	886		0.0
180.0	867		0.0
181.0	848		0.0
182.0	829		0.0
183.0	811		0.0
184.0	794		0.0
185.0	777		0.0
186.0	760		0.0
187.0	744		0.0
188.0	729		0.0
189.0	713		0.0
190.0	698		0.0
191.0	684		0.0
192.0	669		0.0
193.0	656		0.0
194.0	642		0.0
195.0	629		0.0
196.0	616		0.0
197.0	603		0.0
198.0	591		0.0
199.0	579		0.0
200.0	568		0.0
