# Thermistor table for EPCOS B57560G1104
# Temp	Resistance	aplha
-40.0	4397119	0.0
-35.0	3088599	0.0
-30.0	2197225	0.0
-25.0	1581881	0.0
-20.0	1151037	0.0
-15.0	846579	0.0
-10.0	628988	0.0
-5.0	471632	0.0
0.0		357012	0.0
5.0		272500	0.0
10.0	209710	0.0
15.0	162651	0.0
20.0	127080	0.0
25.0	100000	0.0
30.0	79222	0.0
35.0	63167	0.0
40.0	50677	0.0
45.0	40904	0.0
50.0	33195	0.0
55.0	27091	0.0
60.0	22224	0.0
65.0	18323	0.0
70.0	15184	0.0
75.0	12635	0.0
80.0	10566	0.0
85.0	8873	0.0
90.0	7481	0.0
95.0	6337	0.0
100.0	5384	0.0
105.0	4594	0.0
110.0	3934	0.0
115.0	3380	0.0
120.0	2916	0.0
125.0	2522	0.0
