# Thermistor table for Semitec 103GT-2
# Temp	Resistance	aplha 
-60.0	inf			0.0
-50.0	8743000.0	0.0
-40.0	4218000.0	0.0
-30.0	2132000.0	0.0
-20.0	1127000.0	0.0
-10.0	620000.0	0.0
0.0		353700.0	0.0
10.0	208600.0	0.0
20.0	126800.0	0.0
30.0	79360.0		0.0
40.0	50960.0		0.0
50.0	33490.0		0.0
60.0	22510.0		0.0
70.0	15440.0		0.0
80.0	10800.0		0.0
90.0	7686.0		0.0
100.0	5556.0		0.0
110.0	4082.0		0.0
120.0	3043.0		0.0
130.0	2298.0		0.0
140.0	1758.0		0.0
150.0	1360.0		0.0
160.0	1064.0		0.0
170.0	841.4		0.0
180.0	671.4		0.0
190.0	540.8		0.0
200.0	439.3		0.0
210.0	359.7		0.0
220.0	296.9		0.0
230.0	246.8		0.0
240.0	206.5		0.0
250.0	174.0		0.0
260.0	147.5		0.0
270.0	125.8		0.0
280.0	107.9		0.0
290.0	93.05		0.0
300.0	80.65		0.0
400.0	0.0			0.0
