# Thermistor table for Vishay  NTCS0603E3104*XT
# Temp	Resistance	aplha 
-50.0	inf			0.0
-40.0	3921252.0	7.03
-35.0	2774565.0	6.77
-30.0	1988706.0	6.52
-25.0	1442861.0	6.28
-20.0	1058901.0	6.06
-15.0	785573.0	5.85
-10.0	588793.0	5.65
-5.0	445602.0	5.47
0.0		340346.0	5.29
5.0		262229.0	5.12
10.0	203723.0	4.96
15.0	159522.0	4.8
20.0	125851.0	4.66
25.0	100000.0	4.52
30.0	80003.0		4.39
35.0	64422.0		4.26
40.0	52200.0		4.14
45.0	42548.0		4.02
50.0	34879.0		3.91
55.0	28749.0		3.8
60.0	23820.0		3.7
65.0	19835.0		3.6
70.0	16597.0		3.51
75.0	13951.0		3.42
80.0	11780.0		3.33
85.0	9988.4		3.25
90.0	8504.3		3.17
95.0	7269.4		3.09
100.0	6237.5		3.02
105.0	5371.7		2.95
110.0	4642.5		2.88
115.0	4025.9		2.81
120.0	3502.7		2.75
125.0	3057.1		2.68
130.0	2676.4		2.62
135.0	2350.1		2.57
140.0	2069.5		2.51
145.0	1827.4		2.46
150.0	1617.9		2.40
